name,teudat_zehut,specialty,year,gender,clinic_address,phone,license_number,license_date,specialty_registration_date,clalit,maccabi,meuhedet,leumit,source_url,source_name,scrape_date
"פיזיובאלנס בע""מ",,פיזיותרפיה,,,,,,,,1,0,0,0,https://www.medreviews.co.il/provider/physiobalance,MedReviews,2026-03-29T18:53:42.310713
" ד""ר יוסף ברגר",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-berger-joseph,MedReviews,2026-03-29T18:53:42.310718
"ד""ר מיכאל אטינגר",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-etinger-michael,MedReviews,2026-03-29T18:53:42.310723
"ד""ר יוליה פרנקין",,רפואה אסתטית,,,,,,,,0,0,0,1,https://www.medreviews.co.il/provider/dr-frenkin-yulia,MedReviews,2026-03-29T18:53:42.310730
" ד""ר אריק זרצקי",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-zaretski-arik,MedReviews,2026-03-29T18:53:42.310735
"ד""ר אורן ויסמן",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-weissman-oren,MedReviews,2026-03-29T18:53:42.310743
"ד""ר גיל שכטר מאור",,גינקולוגיה ומיילדות,,,,,,,,1,0,0,0,https://www.medreviews.co.il/provider/dr-shechter-maor-gil,MedReviews,2026-03-29T18:53:42.310753
מדארט,,מרפאת מומחים ברפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/medart,MedReviews,2026-03-29T18:53:42.310758
"ד""ר תמר דוקרסקי מרקס",,פריודונטיה - רפואת חניכיים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-doukarsky-marx-tamar,MedReviews,2026-03-29T18:53:42.310764
"ד""ר מיכל דקל שטיינקלר",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-dekel-steinkeller-michal,MedReviews,2026-03-29T18:53:42.310769
רפואת שיניים בארבע ידיים,,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/4hands-dentistry,MedReviews,2026-03-29T18:53:42.310777
" ד""ר דורה שכטר",,,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-schachter-dora,MedReviews,2026-03-29T18:53:42.310783
עירית סמילנסקי,,פיזיותרפיה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/smilansky-irit,MedReviews,2026-03-29T18:53:42.310800
"ד""ר רמי כרדוש",,כירורגיה אורתופדית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-kardosh-rami,MedReviews,2026-03-29T18:53:42.310806
"ד""ר גיא פרידמן",,"רפואת שיניים - בוגר ביה""ס לרפואת שיניים באוניברסיטת תל אביב",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-frydman-guy,MedReviews,2026-03-29T18:53:42.310811
אסותא אופטיק,,הסרת משקפיים בלייזר,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/assuta-optic,MedReviews,2026-03-29T18:53:42.310824
"ד""ר נועם חי",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hai-noam,MedReviews,2026-03-29T18:53:42.310830
פרופ' שפרה לברטובסקי,,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-levartovsky-shifra,MedReviews,2026-03-29T18:53:42.310838
"ד""ר לב לפידוס",,אורטופדיה,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/dr-lapidus-lev,MedReviews,2026-03-29T18:53:42.310849
"ד""ר משה רויבורט",,טיפולי פוריות והפריה חוץ גופית,,,,,,,,1,1,0,0,https://www.medreviews.co.il/provider/dr-royburt-moshe,MedReviews,2026-03-29T18:53:42.310859
"ד""ר נועה פישר",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-fisher-noa,MedReviews,2026-03-29T18:53:42.310864
"ד""ר עמוס שפירא",,"פלסטיקה ואגינלית, גניקולוגיה ומיילדות",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-shapira-amos,MedReviews,2026-03-29T18:53:42.310869
"ד""ר אילן פריאל",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-priel-ilan,MedReviews,2026-03-29T18:53:42.310874
"ד""ר מיכאל אבא",,כירורג פה ולסת,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-abba-michael,MedReviews,2026-03-29T18:53:42.310886
"ד""ר איליה ליטובצ'יק",,קרדיולוגיה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-litovchik-ilya,MedReviews,2026-03-29T18:53:42.310892
"ד""ר ירון ריסין",,כירורגיה פלסטית ואסתטית,,,,,,,,0,1,0,0,https://www.medreviews.co.il/provider/dr-rissin-yaron,MedReviews,2026-03-29T18:53:42.310904
"ד""ר שלומית מחלב שיבי",,רפואת הפה והשיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-mahlab-schiby-shlomit,MedReviews,2026-03-29T18:53:42.310908
פרופ' שמואל עיני,,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-einy-shmuel,MedReviews,2026-03-29T18:53:42.310913
"ד""ר קרן בן ארי מעוז",,עור ומין,,,,,,,,0,1,0,0,https://www.medreviews.co.il/provider/dr-ben-ari-maoz-keren,MedReviews,2026-03-29T18:53:42.310923
"ד""ר אלון לירן",,כירורגיה פלסטית ואסתטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-liran-alon,MedReviews,2026-03-29T18:53:42.310927
"ד""ר מודי נפתלי",,רפואת עיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-naftali-modi,MedReviews,2026-03-29T18:53:42.310938
"ד""ר גיל רפלוביץ",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/inbal-clinics,MedReviews,2026-03-29T18:53:42.310943
"ד""ר ישראל הנדלר",,גינקולוגיה ומיילדות,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hendler-israel,MedReviews,2026-03-29T18:53:42.310948
"ד""ר הילה קליין",,כירורג פה ולסת,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-klein-hila,MedReviews,2026-03-29T18:53:42.310958
"ד""ר נלי שטיינבוק",,אנדודנטיה (טיפולי שורש),,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-steinbock-nelly,MedReviews,2026-03-29T18:53:42.310963
"ד""ר דפנה מנספלד",,רפואה פנימית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-mansfeld-daphna,MedReviews,2026-03-29T18:53:42.310969
דר' יואב אברהמי,,כירורגיה פלסטית,,,,,,,,0,0,1,0,https://www.medreviews.co.il/provider/dr-abrahami-yoav,MedReviews,2026-03-29T18:53:42.310977
"ד""ר אריאל טיסונה",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-tessone-ariel,MedReviews,2026-03-29T18:53:42.310984
"ד""ר יואב ארוש",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-eros-yoav,MedReviews,2026-03-29T18:53:42.310991
"ד""ר בהא חאג' יחיא",,מומחה לכירורגית פה ולסתות,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-haj-yahya-bahaa,MedReviews,2026-03-29T18:53:42.310997
"ד""ר אהוד ברג",,פריודונטיה - רפואת חניכיים ושתלים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-berg-ehud,MedReviews,2026-03-29T18:53:44.340674
"ד""ר יורם וולף",,כירורגיה פלסטית,,,,,,,,0,1,0,0,https://www.medreviews.co.il/provider/dr-wolf-yoram,MedReviews,2026-03-29T18:53:44.340731
"ד""ר אלון ברקוביץ",,,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-berkovich-alon,MedReviews,2026-03-29T18:53:44.340747
"ד""ר דן הדס",,"קרדיולוגית ילדים, רפואת ילדים, הפרעות קצב ילדים, קרדיולוגיית ספורט והפרעות קצב בספורטאים",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hadas-dan,MedReviews,2026-03-29T18:53:44.340759
"ד""ר אריאל פורמן",,אורתופדיה החלפת מפרקים,,,,,,,,0,1,0,1,https://www.medreviews.co.il/provider/dr-fuhrmann-ariel,MedReviews,2026-03-29T18:53:44.340783
"מרפאת מומחים לרפואת שיניים ברעננה ע""ש  ד""ר אודי יוגב",,מרפאת מומחים ברפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-yogev-udi,MedReviews,2026-03-29T18:53:44.340797
"ד""ר איל ביז'אוי",,פריודונטיה - רפואת חניכיים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-bijaoui-eyal,MedReviews,2026-03-29T18:53:44.340808
" ד""ר רונן דקלו",,רפואת שיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-dekalo-ronen,MedReviews,2026-03-29T18:53:44.340817
"ד""ר רון שינמן",,"אנדומטריוזיס, כירורגיה גינקולוגית",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-schonmann-ron,MedReviews,2026-03-29T18:53:44.340830
פרופ' ליאור הלר,,כירורגיה פלסטית ואסתטית,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/dr-heller-lior,MedReviews,2026-03-29T18:53:44.340864
"ד""ר טל ויסמן קויפמן",,"רפואה אסתטית, אסתטיקת פנים",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-weissman-coifman-tal,MedReviews,2026-03-29T18:53:44.340877
"ד""ר ערן מילט",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-millet-eran,MedReviews,2026-03-29T18:53:44.340888
"ד""ר רון עזריה וד""ר רועי ענבר",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-azaria-ron,MedReviews,2026-03-29T18:53:44.340898
" ד""ר דניאל מוריינוס",,אנדודנטיה (טיפולי שורש),,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-moreinos-daniel,MedReviews,2026-03-29T18:53:44.340908
"ד""ר ניר זיידר",,רפואת עיניים,,,,,,,,0,0,0,1,https://www.medreviews.co.il/provider/dr-seider-nir,MedReviews,2026-03-29T18:53:44.340944
פרופ' שמואל פוקס,,קרדיולוגיה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-fuchs-shmuel,MedReviews,2026-03-29T18:53:44.340954
פרופ' אהוד אטון,,כירורגיה אורתופדית,,,,,,,,0,1,1,1,https://www.medreviews.co.il/provider/dr-atoun-ehud,MedReviews,2026-03-29T18:53:44.340981
המחלקה לכירורגיה פלסטית במרכז הרפואי שמיר (אסף הרופא),,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/yitzhak-shamir-medical-center-plastic-surgery-department,MedReviews,2026-03-29T18:53:44.340991
"ד""ר סימון קייזרמן",,רפואה אסתטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-kezerman-simon,MedReviews,2026-03-29T18:53:44.341001
" ד""ר מאהר פלאח",,מומחה למחלות חניכיים ולהשתלות (פריודונטיה),,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-falax-maher,MedReviews,2026-03-29T18:53:44.341011
"ד""ר שמואל גרפי",,עיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-graffi-shmuel,MedReviews,2026-03-29T18:53:44.341025
פרופ' מוריס הרטשטיין,,רפואת עיניים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hartstein-morris,MedReviews,2026-03-29T18:53:44.341037
"ד""ר משה אמיר",,רפואה אסתטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-amir-moshe,MedReviews,2026-03-29T18:53:44.341051
"ד""ר יוסף שבו",,רפואה אסתטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-shabo-yosef,MedReviews,2026-03-29T18:53:44.341061
"ד""ר יורי ברחמן",,גסטרואנטרולוגיה,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-brahman-yuri,MedReviews,2026-03-29T18:53:44.341071
"ד""ר אסף ארז",,טיפולי שורש,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-erez-assaf,MedReviews,2026-03-29T18:53:44.341081
"ד""ר מוני פרידמן",,רפואה אסתטית ומכשור לייזר המתקדם בעולם,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-friedman-mony,MedReviews,2026-03-29T18:53:44.341091
"ד""ר טלי פרידמן",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-friedman-tali,MedReviews,2026-03-29T18:53:44.341100
"ד""ר מיכל ישורון",,רפואה אסתטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-jeshurun-gutshtat-michal,MedReviews,2026-03-29T18:53:44.341110
"ד""ר אבנר חורי",,,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-huri-avner,MedReviews,2026-03-29T18:53:44.341124
"ד""ר פאיז חטיב",,"יילוד וגינקולוגיה, רפואת נשים",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-khatib-fayez,MedReviews,2026-03-29T18:53:44.341135
"ד""ר יוסי פיכמן",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-fichman-yossi,MedReviews,2026-03-29T18:53:44.341145
"ד""ר ניר נתנזון",,עור ומין,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-nathansohn-nir,MedReviews,2026-03-29T18:53:44.341167
"ד""ר אורי שולמן",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-shulman-ori,MedReviews,2026-03-29T18:53:44.341178
נועה מורג,,"קלינאית תקשורת, לקויות שפה ודיבור",,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/morag-noa,MedReviews,2026-03-29T18:53:44.341188
פרופ' דין עד אל,,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-ad-el-dean,MedReviews,2026-03-29T18:53:44.341209
"ד""ר עמנואל בדני",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-badani-emanuel,MedReviews,2026-03-29T18:53:44.341219
פרופ' אורי סגל,,רפואת עיניים,,,,,,,,1,0,0,0,https://www.medreviews.co.il/provider/dr-segal-ori,MedReviews,2026-03-29T18:53:44.341271
"ד""ר משה יהודה",,מומחה לאף אוזן גרון וכירורגיית ראש וצוואר,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-yehuda-moshe,MedReviews,2026-03-29T18:53:44.341285
"ד""ר ניר גל אור",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-gal-or-nir,MedReviews,2026-03-29T18:53:44.341295
" ד""ר ענת רוזנבלום",,רפואת שיניים לילדים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-rosenblum-anat,MedReviews,2026-03-29T18:53:44.341306
"ד""ר ברונו קריינר",,כירורג פה ולסת,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-kreiner-bruno,MedReviews,2026-03-29T18:53:44.341316
" ד""ר גלית אבינועם דר",,כירורגיה פלסטית,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-avinoam-dar-galit,MedReviews,2026-03-29T18:53:44.341326
" ד""ר ברנרד דהן",,רפואת חניכיים והשתלות (מיקרוכירורגיה וכירורגית לייזר),,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-dahan-bernard,MedReviews,2026-03-29T18:53:44.341336
" ד""ר פאני הרשקוביץ",,רפואת שיניים לילדים,,,,,,,,0,0,0,0,https://www.medreviews.co.il/provider/dr-hershkovitz-fanny,MedReviews,2026-03-29T18:53:44.341346
פרופ' יונה קוסאשוילי,,כירורגיה אורתופדית,,,,,,,,1,1,1,1,https://www.medreviews.co.il/provider/prof-kosashvili-yona,MedReviews,2026-03-29T18:53:44.341387
